35.91,2.64192561153,35.1,2.65732023932,10,10
63.81,1.95930039934,63.4,1.98128646591,30,10
73.53,1.49486811176,72.99,1.54011026107,50,10
70.41,1.59552784764,69.99,1.55318246233,70,10
76.4,1.33902525321,77.16,1.32644922847,100,10
41.4,2.67369178603,41.55,2.68565853053,10,30
71.11,1.52742679078,70.16,1.54338528545,30,30
76.49,1.35131748256,75.87,1.37839349784,50,30
81.66,1.13373309672,82.38,1.1292568584,70,30
80.27,1.0884256523,80.36,1.09801878444,100,30
42.76,2.51481889793,42.07,2.53433061036,10,50
68.12,1.74700722561,67.25,1.7317862495,30,50
72.84,1.55141055835,71.81,1.58260165504,50,50
79.06,1.19156596181,79.36,1.20687731027,70,50
78.91,1.24908206627,79.16,1.25844576593,100,50
